input,target_position,completion
Mike cooks Todd. Henry cooks Victor. Jordan cooks Amber. Austin cooks Sheila. Tim cooks Richard. Chris cooks Teresa. Luke cooks Paula. Joseph cooks Ron. Joy cooks Maggie. Dean cooks Julian. Jack cooks Phil. Emily cooks Sue. Jane cooks Lydia. Leon cooks Ted. Linda cooks Sean. Rose cooks Shawn. Mike cooks,1,Todd
Austin fights Paula. Jake fights Noah. Lily fights Anthony. Charles fights Leon. Emma fights Richard. Lauren fights Lydia. Blake fights Andrea. Jenny fights Ralph. Thomas fights Johnny. Jean fights Sean. George fights Louis. Lisa fights Jean. Susan fights April. Kate fights Albert. Andrew fights Angela. Kyle fights Liam. Austin fights,1,Paula
Brian affects Isaac. Amy affects Ron. Megan affects Patrick. George affects Alison. Henry affects William. Rose affects Sally. Liz affects Marie. Pat affects Shawn. Emma affects Stephanie. Margaret affects Isabel. Tom affects Russell. Sam affects Peggy. Ian affects Howard. Alex affects Robin. Blake affects Andrea. Julia affects Ruby. Brian affects,1,Isaac
Max hates Violet. Juan hates Irene. James hates Tyler. Hope hates Sally. Robert hates Paula. Leon hates Vanessa. Keith hates Jean. Alex hates Roy. Dennis hates Robin. Thomas hates Rebecca. June hates Vincent. Daniel hates Margaret. Lauren hates Sandra. Frank hates Olga. Carl hates Julian. Ken hates Isabel. Max hates,1,Violet
John tells Howard. Kelly tells Violet. Arthur tells Sally. Katie tells Kathy. Sam tells Liz. James tells Wayne. Harry tells Irene. Grace tells Shirley. Michael tells Pam. Jordan tells Stephen. Marie tells Ray. Diana tells Angela. Steven tells Ron. Bill tells Ruby. Ben tells Melissa. Joseph tells Todd. John tells,1,Howard
Claire serves Jacob. Faith serves Michelle. Rose serves Rachel. Helen serves Victoria. Linda serves Logan. Jeff serves Marie. Megan serves Ruby. Kathy serves Russell. Dave serves Irene. David serves Ian. Jack serves Leo. Keith serves Janet. Juan serves Wanda. Daniel serves Teresa. Margaret serves Troy. Emily serves Marc. Claire serves,1,Jacob
Joseph feels Angela. Blake feels Nathan. Carol feels Amelia. Kate feels Pam. Tony feels Maggie. Jeff feels Ted. Faith feels Rachel. Max feels Noah. Dennis feels Oscar. Carl feels Roger. Susan feels Margaret. Harry feels Roy. Craig feels June. Eric feels Keith. Arthur feels Stan. Liz feels Jill. Joseph feels,1,Angela
Ken offers Wanda. Kim offers Pam. Louis offers Norman. Matt offers Isabel. Peter offers Terry. Andrew offers Keith. Faith offers Ralph. Linda offers Ken. Blake offers Zach. Austin offers Sharon. Ben offers Joseph. Dave offers Peggy. Tim offers Ray. Liz offers Margaret. Claire offers Joy. Sarah offers Shirley. Ken offers,1,Wanda
Rad proposes Ralph. Jane proposes Stan. Susan proposes Joseph. Chris proposes Leo. Max proposes Pam. Jason proposes Shawn. Kim proposes Robin. Jacob proposes Jean. Helen proposes Oscar. Claire proposes Sharon. Joseph proposes Angela. Lauren proposes Wayne. Paul proposes Jenny. Jean proposes Kim. Michael proposes Adrian. Carol proposes Andrea. Rad proposes,1,Ralph
Harry finds Michelle. David finds Robin. Gary finds Jenny. Maria finds Teresa. Jordan finds Judy. Faith finds Tracy. Thomas finds Johnny. Emily finds Violet. Mary finds Pam. Luke finds Albert. Jane finds Nicholas. Bob finds Rob. Anna finds Neil. Liz finds Martha. Dennis finds Lori. Arthur finds Melanie. Harry finds,1,Michelle
Bill alerts Lori. Marc alerts Rebecca. Jason alerts Norman. Austin alerts Kim. Jenny alerts Logan. Emma alerts Troy. June alerts Keith. Fred alerts Marc. Leon alerts Stephen. Blake alerts Valerie. Jacob alerts Melanie. Kay alerts Martha. Helen alerts Walter. Brian alerts Jacob. George alerts Vincent. Jane alerts Kirk. Bill alerts,1,Lori
Greg judges Ralph. Linda judges Rachel. Alex judges Marie. Ken judges Judy. Claire judges Troy. Melissa judges Norman. Lisa judges Janet. Joseph judges Margaret. Jerry judges Neil. George judges Roger. Harry judges Jill. Kelly judges Oscar. Rick judges Shawn. Jean judges Isabel. Fred judges Richard. Jeff judges Ruby. Greg judges,1,Ralph
Amy changes Ashley. Dave changes Peggy. Dennis changes Teresa. Tim changes Roy. Howard changes Leon. Katie changes Robin. Joe changes Joy. Ellen changes Pamela. Michael changes Sharon. Sam changes Stephen. Robert changes Andrea. Kyle changes Marc. Jean changes Shirley. Ben changes Alison. Alan changes Sandra. Steve changes Natalie. Amy changes,1,Ashley
George hates Todd. Josh hates Julian. Lauren hates Walter. Dave hates Jacob. Linda hates Kay. Pat hates Ted. Emma hates Rebecca. Henry hates Neil. Lisa hates Jean. Rick hates Sean. Fred hates Leo. Aaron hates Stan. Emily hates Leah. Hope hates Rachel. Mike hates Jordan. Brian hates Valerie. George hates,1,Todd
Nick protects Joy. Hope protects Ruby. Edward protects Pam. Claire protects Roger. Ben protects Sue. Jill protects Ron. Kelly protects Wayne. Anna protects Roy. Henry protects Tracy. Lauren protects Julian. Andrew protects Vincent. Ian protects Jordan. Dave protects Travis. Jake protects Peggy. Amy protects Sandra. David protects Jacob. Nick protects,1,Joy
Kurt wakes Sheila. Rose wakes Janet. Margaret wakes Nicholas. Carol wakes Martha. Lauren wakes Nicole. Katie wakes William. Brian wakes Valerie. Jason wakes Ted. Arthur wakes Melanie. Jill wakes Nathan. Alex wakes Stephen. Marie wakes Ray. Alan wakes Margaret. Thomas wakes Terry. George wakes Phil. Bob wakes Joy. Kurt wakes,1,Sheila
Emma asks Kara. Kate asks Martha. John asks Shirley. Edward asks Nancy. Joe asks Nicholas. Luke asks Alison. Johnny asks Walter. Adam asks Richard. Kathy asks Wanda. Tim asks Irene. Anne asks Sheila. Harry asks Jacob. Kevin asks Stephanie. Maggie asks Roger. Justin asks Johnny. Frank asks Stan. Emma asks,1,Kara
