input,target_position,completion,generated_text,is_correct
James loves Paul. Emma loves Chris. Sarah loves Mike. John loves Susan. Alex loves Kate. David loves Anna. Mary loves Tom. Mark loves Peter. James loves,1,Paul, Paul.,True
James sees Peter. John sees Kate. Mary sees Tom. Mark sees Susan. Emma sees Anna. Alex sees Chris. David sees Mike. Sarah sees Paul. James sees,1,Peter, Kate.,False
Emma hates Peter. John hates Tom. James hates Kate. Mark hates Chris. David hates Anna. Mary hates Paul. Alex hates Mike. Sarah hates Susan. Emma hates,1,Peter, Peter.,True
James helps Chris. Mark helps Anna. Mary helps Susan. Alex helps Kate. Sarah helps Tom. John helps Peter. David helps Paul. Emma helps Mike. James helps,1,Chris, Chris.,True
Alex sees Kate. James sees Peter. Mary sees Mike. John sees Anna. Sarah sees Chris. David sees Paul. Mark sees Susan. Emma sees Tom. Alex sees,1,Kate, Kate.,True
James likes Anna. David likes Peter. Mary likes Paul. Alex likes Tom. Sarah likes Kate. Mark likes Chris. Emma likes Susan. John likes Mike. James likes,1,Anna, Anna.,True
John calls Susan. David calls Chris. James calls Tom. Emma calls Paul. Alex calls Peter. Mary calls Mike. Mark calls Kate. Sarah calls Anna. John calls,1,Susan, Susan.,True
Alex likes Susan. Emma likes Paul. David likes Peter. Mark likes Mike. James likes Anna. Sarah likes Chris. Mary likes Kate. John likes Tom. Alex likes,1,Susan, Susan.,True
Alex likes Susan. Mary likes Chris. David likes Kate. Sarah likes Mike. Mark likes Tom. John likes Paul. James likes Peter. Emma likes Anna. Alex likes,1,Susan, Emma.,False
Mark knows Tom. James knows Paul. David knows Mike. Alex knows Peter. Sarah knows Susan. John knows Anna. Mary knows Kate. Emma knows Chris. Mark knows,1,Tom, Chris.,False
Mark calls Peter. Sarah calls Paul. David calls Mike. Alex calls Kate. John calls Tom. Emma calls Susan. James calls Chris. Mary calls Anna. Mark calls,1,Peter, Sarah.,False
Emma knows Kate. Mark knows Mike. James knows Peter. Alex knows Chris. Sarah knows Susan. John knows Paul. Mary knows Anna. David knows Tom. Emma knows,1,Kate, David.,False
David helps Susan. Alex helps Peter. Sarah helps Kate. James helps Anna. Mary helps Chris. Mark helps Mike. Emma helps Paul. John helps Tom. David helps,1,Susan, Susan.,True
Mark helps Paul. Sarah helps Susan. Mary helps Kate. Alex helps Peter. David helps Anna. James helps Mike. John helps Chris. Emma helps Tom. Mark helps,1,Paul, Paul.,True
John sees Tom. Sarah sees Chris. Alex sees Mike. Mary sees Kate. David sees Paul. Mark sees Susan. Emma sees Anna. James sees Peter. John sees,1,Tom, Tom.,True
David knows Peter. James knows Tom. John knows Paul. Sarah knows Susan. Mark knows Chris. Mary knows Anna. Alex knows Mike. Emma knows Kate. David knows,1,Peter, Emma.,False
Alex calls Chris. James calls Susan. Mark calls Tom. Emma calls Mike. Mary calls Anna. Sarah calls Kate. David calls Peter. John calls Paul. Alex calls,1,Chris, Chris.,True
Mark loves Kate. David loves Anna. Sarah loves Susan. Alex loves Chris. James loves Mike. Emma loves Tom. John loves Peter. Mary loves Paul. Mark loves,1,Kate, Kate.,True
