input,target_position,completion,generated_text,is_correct
James loves Paul. Emma hates Chris. Sarah sees Mike. John knows Susan. Alex calls Kate. David meets Anna. Mary helps Tom. Mark likes Peter. James loves,1,Paul, Paul.,True
James sees Peter. John knows Kate. Mary helps Tom. Mark calls Susan. Emma hates Anna. Alex likes Chris. David loves Mike. Sarah meets Paul. James sees,1,Peter, Peter.,True
Emma hates Peter. John helps Tom. James likes Kate. Mark calls Chris. David loves Anna. Mary meets Paul. Alex knows Mike. Sarah sees Susan. Emma hates,1,Peter, Peter.,True
James helps Chris. Mark hates Anna. Mary sees Susan. Alex likes Kate. Sarah calls Tom. John loves Peter. David meets Paul. Emma knows Mike. James helps,1,Chris, Chris.,True
Alex sees Kate. James knows Peter. Mary likes Mike. John helps Anna. Sarah loves Chris. David calls Paul. Mark meets Susan. Emma hates Tom. Alex sees,1,Kate, Kate.,True
James likes Anna. David meets Peter. Mary sees Paul. Alex calls Tom. Sarah helps Kate. Mark loves Chris. Emma hates Susan. John knows Mike. James likes,1,Anna, Anna.,True
John calls Susan. David meets Chris. James knows Tom. Emma hates Paul. Alex helps Peter. Mary sees Mike. Mark loves Kate. Sarah likes Anna. John calls,1,Susan, Susan.,True
Alex likes Susan. Emma knows Paul. David helps Peter. Mark meets Mike. James loves Anna. Sarah hates Chris. Mary calls Kate. John sees Tom. Alex likes,1,Susan, Susan.,True
Alex likes Susan. Mary loves Chris. David calls Kate. Sarah sees Mike. Mark helps Tom. John knows Paul. James meets Peter. Emma hates Anna. Alex likes,1,Susan, Susan.,True
Mark knows Tom. James loves Paul. David sees Mike. Alex helps Peter. Sarah likes Susan. John hates Anna. Mary calls Kate. Emma meets Chris. Mark knows,1,Tom, Tom.,True
Mark calls Peter. Sarah sees Paul. David likes Mike. Alex helps Kate. John meets Tom. Emma loves Susan. James knows Chris. Mary hates Anna. Mark calls,1,Peter, Peter.,True
Emma knows Kate. Mark calls Mike. James helps Peter. Alex likes Chris. Sarah sees Susan. John meets Paul. Mary hates Anna. David loves Tom. Emma knows,1,Kate, Kate.,True
David helps Susan. Alex loves Peter. Sarah meets Kate. James calls Anna. Mary hates Chris. Mark knows Mike. Emma sees Paul. John likes Tom. David helps,1,Susan, Susan.,True
Mark helps Paul. Sarah knows Susan. Mary meets Kate. Alex hates Peter. David sees Anna. James loves Mike. John likes Chris. Emma calls Tom. Mark helps,1,Paul, Paul.,True
John sees Tom. Sarah helps Chris. Alex likes Mike. Mary knows Kate. David calls Paul. Mark loves Susan. Emma meets Anna. James hates Peter. John sees,1,Tom, Tom.,True
David knows Peter. James loves Tom. John sees Paul. Sarah likes Susan. Mark calls Chris. Mary meets Anna. Alex helps Mike. Emma hates Kate. David knows,1,Peter, Peter.,True
Alex calls Chris. James likes Susan. Mark meets Tom. Emma hates Mike. Mary helps Anna. Sarah sees Kate. David knows Peter. John loves Paul. Alex calls,1,Chris, Chris.,True
Mark loves Kate. David knows Anna. Sarah hates Susan. Alex sees Chris. James meets Mike. Emma calls Tom. John likes Peter. Mary helps Paul. Mark loves,1,Kate, Kate.,True
Alex loves Kate. Mark meets Mike. Sarah hates Anna. James knows Peter. Emma sees Tom. David likes Susan. John helps Chris. Mary calls Paul. Alex loves,1,Kate, Kate.,True
Alex likes Paul. David helps Susan. Mark meets Mike. Mary loves Anna. Emma knows Chris. James calls Tom. Sarah sees Kate. John hates Peter. Alex likes,1,Paul, Paul.,True
Mark loves Peter. David meets Kate. Sarah hates Tom. John likes Anna. Mary knows Mike. Alex calls Chris. James sees Susan. Emma helps Paul. David meets,2,Kate, Kate.,True
Emma meets Kate. John likes Chris. David helps Anna. Sarah loves Tom. Mark sees Mike. James knows Peter. Alex hates Paul. Mary calls Susan. John likes,2,Chris, Chris.,True
Sarah loves Anna. John likes Kate. Emma sees Peter. Mark meets Paul. James helps Tom. David knows Susan. Mary hates Mike. Alex calls Chris. John likes,2,Kate, Kate.,True
John knows Paul. Sarah meets Anna. Emma calls Kate. Alex likes Tom. Mark helps Chris. Mary sees Peter. David hates Susan. James loves Mike. Sarah meets,2,Anna, Anna.,True
Mary likes Kate. James loves Mike. Alex sees Tom. Emma knows Peter. Sarah helps Anna. Mark calls Paul. John hates Chris. David meets Susan. James loves,2,Mike, Mary.,False
John hates Susan. Alex helps Tom. James calls Mike. Mary sees Kate. Mark knows Peter. Emma meets Chris. David likes Anna. Sarah loves Paul. Alex helps,2,Tom, Tom.,True
Mary hates Kate. John helps Tom. Alex sees Paul. David meets Peter. Mark calls Anna. James loves Mike. Emma knows Chris. Sarah likes Susan. John helps,2,Tom, Tom.,True
John loves Chris. Sarah meets Paul. Emma calls Mike. David hates Anna. Mark helps Tom. Alex knows Susan. Mary likes Kate. James sees Peter. Sarah meets,2,Paul, Paul.,True
Mary knows Peter. David meets Chris. Mark calls Susan. Alex sees Paul. James likes Tom. Sarah hates Kate. John helps Anna. Emma loves Mike. David meets,2,Chris, Chris.,True
Mark calls Paul. Mary likes Susan. John sees Kate. James helps Anna. Emma hates Mike. Alex loves Tom. Sarah meets Peter. David knows Chris. Mary likes,2,Susan, Susan.,True
Emma likes Peter. Mary knows Tom. David calls Mike. Sarah hates Chris. Mark sees Anna. Alex loves Susan. James meets Kate. John helps Paul. Mary knows,2,Tom, Tom.,True
Mark loves Mike. James hates Peter. Emma sees Susan. John meets Anna. Alex calls Chris. Sarah knows Tom. Mary helps Kate. David likes Paul. James hates,2,Peter, Peter.,True
Emma helps Susan. Sarah knows Peter. Mark likes Tom. David calls Mike. Alex hates Chris. John meets Anna. Mary loves Kate. James sees Paul. Sarah knows,2,Peter, Peter.,True
David hates Paul. Mary calls Tom. Mark sees Susan. John meets Peter. James likes Kate. Emma loves Anna. Alex helps Chris. Sarah knows Mike. Mary calls,2,Tom, Tom.,True
Sarah helps Mike. Mark sees Paul. Emma loves Peter. John calls Chris. James hates Susan. Mary knows Tom. David likes Kate. Alex meets Anna. Mark sees,2,Paul, Paul.,True
Sarah calls Kate. Emma loves Susan. John helps Paul. Alex sees Chris. David meets Anna. Mark hates Tom. James knows Mike. Mary likes Peter. Emma loves,2,Susan, Susan.,True
James meets Paul. Mary helps Kate. David loves Chris. Mark likes Peter. John knows Tom. Sarah hates Susan. Alex sees Anna. Emma calls Mike. Mary helps,2,Kate, Kate.,True
