input,target_position,completion,generated_text,is_correct
Amy tells Zoe. James tells Brian. Paul tells Karen. David tells Ryan. Mike tells Jane. Anna tells Olivia. Susan tells Daniel. Kevin tells Jake. Emma tells Robert. Peter tells Andrew. Laura tells Eric. Tom tells Linda. John tells Thomas. Kate tells Grace. Mary tells Helen. Chris tells Emily. Amy tells,1,Zoe, Zoe.,True
Laura helps Andrew. Amy helps Zoe. Mary helps Brian. Emma helps Helen. John helps Robert. Tom helps Thomas. Alex helps Olivia. Chris helps Grace. Anna helps Ryan. Lisa helps Linda. Mike helps Jane. Susan helps Karen. Mark helps Jake. David helps Jason. Kate helps Adam. Sarah helps Emily. Laura helps,1,Andrew, Andrew.,True
Anna hates Jake. Laura hates Brian. Tom hates Olivia. Susan hates Adam. Chris hates Karen. Paul hates Ryan. Emma hates Emily. Lisa hates Linda. Kate hates Jason. Alex hates Helen. Mark hates Robert. Mike hates Daniel. James hates Zoe. Kevin hates Lucy. David hates Grace. Amy hates Jane. Anna hates,1,Jake, Jake.,True
Anna pays Karen. Laura pays Grace. Lisa pays Jake. Mike pays Brian. Tom pays Ryan. Mary pays Daniel. James pays Emily. John pays Zoe. Mark pays Lucy. David pays Helen. Susan pays Eric. Emma pays Jane. Alex pays Adam. Kevin pays Sophia. Peter pays Thomas. Kate pays Jason. Anna pays,1,Karen, Karen.,True
Mike tells Grace. John tells Helen. Tom tells Eric. David tells Daniel. Mark tells Lucy. Lisa tells Brian. Mary tells Andrew. James tells Zoe. Alex tells Ryan. Laura tells Jane. Kate tells Robert. Susan tells Linda. Anna tells Jake. Amy tells Karen. Paul tells Thomas. Peter tells Adam. Mike tells,1,Grace, Grace.,True
Emma tells Andrew. David tells Karen. Anna tells Olivia. Lisa tells Brian. Sarah tells Linda. Susan tells Adam. Mark tells Sophia. Amy tells Daniel. Tom tells Ryan. Peter tells Emily. Alex tells Helen. James tells Jake. Kevin tells Jason. Paul tells Zoe. Mike tells Grace. Kate tells Eric. Emma tells,1,Andrew, Andrew.,True
Mark likes Daniel. Lisa likes Helen. John likes Emily. Chris likes Brian. Paul likes Jake. Anna likes Sophia. Amy likes Lucy. David likes Thomas. Sarah likes Eric. Laura likes Robert. Emma likes Olivia. Tom likes Jason. Alex likes Karen. Kevin likes Andrew. Kate likes Jane. Mary likes Zoe. Mark likes,1,Daniel, Daniel.,True
Paul fears Thomas. David fears Brian. Mark fears Jason. Kevin fears Jane. Alex fears Emily. James fears Robert. Mike fears Linda. John fears Grace. Mary fears Ryan. Sarah fears Zoe. Anna fears Sophia. Susan fears Jake. Kate fears Adam. Chris fears Helen. Emma fears Andrew. Amy fears Eric. Paul fears,1,Thomas, Thomas.,True
Peter visits Helen. John visits Eric. Mark visits Jason. Amy visits Ryan. Kate visits Brian. James visits Jake. Paul visits Olivia. Alex visits Grace. Tom visits Lucy. Lisa visits Sophia. Emma visits Karen. Laura visits Linda. Mary visits Jane. Sarah visits Andrew. Mike visits Emily. Anna visits Thomas. Peter visits,1,Helen, Helen.,True
Laura hates Jason. James hates Helen. Alex hates Daniel. Tom hates Zoe. John hates Adam. Paul hates Jake. Peter hates Eric. Anna hates Andrew. Kevin hates Thomas. Mike hates Olivia. Kate hates Lucy. Chris hates Linda. Amy hates Sophia. Mary hates Grace. Sarah hates Jane. David hates Karen. Laura hates,1,Jason, Jason.,True
Alex trusts Daniel. Kate trusts Emily. Sarah trusts Brian. Peter trusts Helen. Mary trusts Robert. Laura trusts Thomas. Mike trusts Lucy. Susan trusts Jake. Paul trusts Ryan. Amy trusts Jason. Tom trusts Jane. John trusts Eric. Chris trusts Adam. James trusts Zoe. Lisa trusts Karen. Mark trusts Andrew. Alex trusts,1,Daniel, Daniel.,True
Paul follows Karen. Laura follows Ryan. James follows Eric. Anna follows Zoe. Lisa follows Linda. Amy follows Lucy. Peter follows Adam. Mary follows Brian. Mark follows Thomas. John follows Grace. Susan follows Sophia. Sarah follows Helen. Mike follows Jason. Tom follows Emily. Kate follows Jane. Emma follows Andrew. Paul follows,1,Karen, Laura.,False
Mark asks Karen. Kate asks Sophia. James asks Daniel. Kevin asks Jason. Mary asks Brian. Amy asks Robert. Peter asks Eric. Lisa asks Ryan. Emma asks Zoe. Tom asks Lucy. Susan asks Linda. Alex asks Grace. Laura asks Helen. Anna asks Emily. Sarah asks Adam. Chris asks Jane. Mark asks,1,Karen, Kate.,False
Peter needs Daniel. Anna needs Lucy. James needs Karen. Mike needs Eric. Sarah needs Ryan. Kate needs Helen. Emma needs Zoe. Paul needs Thomas. Tom needs Robert. Alex needs Andrew. Laura needs Sophia. Mary needs Jason. John needs Olivia. Kevin needs Jane. Lisa needs Brian. Amy needs Adam. Peter needs,1,Daniel, Daniel.,True
Emma hates Daniel. Mary hates Jane. Paul hates Brian. Chris hates Robert. Anna hates Helen. Susan hates Thomas. Laura hates Jason. Peter hates Zoe. John hates Sophia. James hates Eric. Kate hates Grace. Lisa hates Jake. Sarah hates Andrew. Amy hates Emily. Kevin hates Linda. Mike hates Ryan. Emma hates,1,Daniel, Daniel.,True
John helps Jason. Paul helps Lucy. Laura helps Linda. Peter helps Thomas. Kate helps Andrew. Sarah helps Robert. Susan helps Emily. Anna helps Adam. Lisa helps Jake. Chris helps Grace. Mary helps Eric. Alex helps Ryan. Emma helps Brian. Mark helps Daniel. Mike helps Jane. David helps Olivia. John helps,1,Jason, Jason.,True
Sarah helps Daniel. Susan helps Karen. Tom helps Ryan. David helps Sophia. Alex helps Brian. Lisa helps Grace. Anna helps Thomas. Amy helps Adam. Emma helps Olivia. Kevin helps Jason. Peter helps Jake. James helps Emily. John helps Zoe. Kate helps Robert. Chris helps Andrew. Mary helps Eric. Sarah helps,1,Daniel, Daniel.,True
Peter likes Jason. Paul likes Karen. Kate likes Adam. Mark likes Sophia. Tom likes Emily. Kevin likes Jake. Lisa likes Eric. David likes Daniel. Sarah likes Andrew. Laura likes Olivia. John likes Grace. James likes Lucy. Amy likes Robert. Mary likes Helen. Mike likes Jane. Alex likes Ryan. Peter likes,1,Jason, Jason.,True
Tom sees Zoe. Paul sees Helen. Mary sees Sophia. Kate sees Lucy. Peter sees Jason. Mike sees Emily. Sarah sees Olivia. Emma sees Daniel. Lisa sees Thomas. Laura sees Eric. Susan sees Linda. Chris sees Jane. Mark sees Jake. Kevin sees Karen. David sees Brian. Amy sees Robert. Tom sees,1,Zoe, Zoe.,True
Paul hates Karen. Mark hates Zoe. David hates Thomas. Amy hates Lucy. Lisa hates Helen. Sarah hates Robert. James hates Jake. Laura hates Adam. Mike hates Jane. Susan hates Olivia. Tom hates Linda. Peter hates Jason. Chris hates Ryan. Alex hates Grace. Anna hates Daniel. John hates Sophia. Paul hates,1,Karen, Karen.,True
Mary needs Jake. Amy needs Linda. Mike needs Daniel. Sarah needs Lucy. Mark needs Olivia. David needs Sophia. Kevin needs Karen. Emma needs Eric. John needs Zoe. Anna needs Robert. Lisa needs Ryan. James needs Adam. Tom needs Helen. Alex needs Thomas. Paul needs Grace. Kate needs Jane. Amy needs,2,Linda, Jake.,False
Laura fears Daniel. Anna fears Zoe. Susan fears Andrew. Kate fears Grace. Amy fears Helen. Paul fears Lucy. Peter fears Jane. Alex fears Sophia. Kevin fears Jake. Mark fears Brian. Chris fears Karen. James fears Robert. Lisa fears Eric. David fears Linda. Emma fears Ryan. Sarah fears Jason. Anna fears,2,Zoe, Zoe.,True
Mark knows Jason. Tom knows Brian. Paul knows Olivia. Emma knows Eric. Chris knows Grace. Susan knows Thomas. Peter knows Lucy. Kevin knows Zoe. Laura knows Jake. David knows Jane. Sarah knows Linda. Alex knows Ryan. John knows Adam. Kate knows Andrew. Amy knows Emily. Lisa knows Karen. Tom knows,2,Brian, Mark.,False
Paul calls Eric. Kate calls Jane. Chris calls Jason. Alex calls Grace. Laura calls Adam. Susan calls Jake. Emma calls Olivia. Mary calls Linda. Lisa calls Helen. Peter calls Brian. James calls Ryan. John calls Sophia. Mark calls Karen. Sarah calls Thomas. Mike calls Daniel. David calls Zoe. Kate calls,2,Jane, Jane.,True
